match_id,date,map,team,result,discord_handle,riot_name,agent,team_avg_rank,acs,kills,deaths,assists,kd_ratio,econ,dd_delta,adr,hs_pct,kast_pct,first_kills,first_deaths,multi_kills,plants,defuses,notes
match_3,,,Team1,Win (98-87 kills),@paxeee,baobao,Jett,,344,27,17,10,,85,,,,,5,,,0,0,screenshot taker (highlighted row)
match_3,,,Team2,Loss (87-98 kills),@luvnochi,snomnom,Astra,,295,26,19,6,,66,,,,,2,,,0,0,
match_3,,,Team2,Loss (87-98 kills),@faxz__,FaXz,Clove,,278,23,23,7,,65,,,,,3,,,3,0,
match_3,,,Team1,Win (98-87 kills),@bearably,Bear,Viper,,277,24,12,6,,108,,,,,4,,,1,1,
match_3,,,Team1,Win (98-87 kills),@Jiroshima,Jiroshima,Tejo,,256,24,18,3,,69,,,,,1,,,2,1,
match_3,,,Team2,Loss (87-98 kills),@vixnvlr,john bigback (SILLY tag),Phoenix,,209,17,18,6,,61,,,,,5,,,0,0,
match_3,,,Team1,Win (98-87 kills),@skullmanjack.,skullmanjack,Neon,,143,12,21,3,,39,,,,,3,,,2,0,
match_3,,,Team2,Loss (87-98 kills),@wordsbynoble,peble eater,Cypher,,143,11,23,4,,32,,,,,1,,,0,0,
match_3,,,Team1,Win (98-87 kills),@tia0_o,redtea,Chamber,,141,11,19,6,,48,,,,,0,,,1,0,
match_3,,,Team2,Loss (87-98 kills),@uvz,buubz,Sova,,115,10,16,8,,36,,,,,0,,,3,1,
match_4,,,Team1,Loss (77-79 kills),@Jiroshima,Jiroshima,Raze,,293,22,16,6,,100,,,,,2,,,1,0,
match_4,,,Team1,Loss (77-79 kills),@faxz__,FaXz,Tejo,,289,21,14,6,,71,,,,,2,,,1,1,
match_4,,,Team2,Win (79-77 kills),@luvnochi,snomnom,Unknown,,275,22,11,10,,76,,,,,4,,,2,0,agent column unclear in screenshot
match_4,,,Team1,Loss (77-79 kills),@paxeee,baobao,Deadlock,,270,23,14,5,,88,,,,,1,,,1,1,screenshot taker (highlighted row)
match_4,,,Team2,Win (79-77 kills),@bearably,Bear,Waylay,,251,18,15,6,,64,,,,,2,,,1,0,
match_4,,,Team2,Win (79-77 kills),@vixnvlr,john bigback (SILLY tag),Yoru,,177,14,17,3,,37,,,,,4,,,3,0,
match_4,,,Team2,Win (79-77 kills),@uvz,buubz,Clove,,168,11,21,5,,45,,,,,1,,,3,0,
match_4,,,Team2,Win (79-77 kills),@wordsbynoble,peble eater,Cypher,,160,14,14,2,,41,,,,,1,,,0,0,
match_4,,,Team1,Loss (77-79 kills),@tia0_o,redtea,Fade,,96,7,16,1,,33,,,,,3,,,0,1,
match_4,,,Team1,Loss (77-79 kills),@skullmanjack.,skullmanjack,Clove,,76,4,20,6,,25,,,,,2,,,1,0,
match_5,,,Team1,Win (101-83 kills),@paxeee,baobao,Waylay,,374,34,17,2,,94,,,,,2,,,1,1,screenshot taker (highlighted row)
match_5,,,Team1,Win (101-83 kills),@bearably,Bear,Sova,,282,24,14,3,,95,,,,,4,,,6,0,
match_5,,,Team2,Loss (83-101 kills),@wordsbynoble,peble eater,Cypher,,275,24,19,3,,60,,,,,1,,,0,0,
match_5,,,Team2,Loss (83-101 kills),@Jiroshima,Jiroshima,Fade,,260,23,18,6,,60,,,,,0,,,3,2,
match_5,,,Team1,Win (101-83 kills),@vixnvlr,john bigback (SILLY tag),Chamber,,236,20,18,5,,59,,,,,6,,,0,0,
match_5,,,Team1,Win (101-83 kills),@luvnochi,snomnom,Unknown,,194,14,17,18,,59,,,,,3,,,0,1,agent column unclear in screenshot
match_5,,,Team2,Loss (83-101 kills),@faxz__,FaXz,Neon,,184,14,23,3,,42,,,,,4,,,0,0,
match_5,,,Team2,Loss (83-101 kills),,gabbo,Waylay,,175,13,20,4,,44,,,,,4,,,0,0,LEFT SERVER - no discord handle available
match_5,,,Team1,Win (101-83 kills),@tia0_o,redtea,Reyna,,119,9,17,5,,43,,,,,0,,,1,0,
match_5,,,Team2,Loss (83-101 kills),@keosxp,keos,Clove,,109,9,21,8,,34,,,,,0,,,4,0,
match_6,2026-08-21,Split,Team1,Win (93-82 kills / 13-11 rounds),@vixnvlr,john bigback (SILLY tag),Chamber,,349,28,17,2,,82,,,,,4,,,1,0,screenshot taker (highlighted row)
match_6,2026-08-21,Split,Team1,Win (93-82 kills / 13-11 rounds),@bearably,Bear,Fade,,284,24,15,7,,71,,,,,0,,,2,1,
match_6,2026-08-21,Split,Team2,Loss (82-93 kills / 11-13 rounds),@paxeee,baobao,Deadlock,,256,24,17,2,,53,,,,,4,,,0,1,
match_6,2026-08-21,Split,Team2,Loss (82-93 kills / 11-13 rounds),@luvnochi,snomnom,Clove,,242,20,25,4,,55,,,,,3,,,0,0,
match_6,2026-08-21,Split,Team1,Win (93-82 kills / 13-11 rounds),@noteyxo,Note,Waylay,,190,15,17,4,,62,,,,,1,,,0,0,
match_6,2026-08-21,Split,Team2,Loss (82-93 kills / 11-13 rounds),@uvz,buubz,Chamber,,184,15,19,8,,52,,,,,2,,,2,0,
match_6,2026-08-21,Split,Team2,Loss (82-93 kills / 11-13 rounds),@tia0_o,redtea,Sage,,183,15,16,9,,53,,,,,3,,,1,0,
match_6,2026-08-21,Split,Team1,Win (93-82 kills / 13-11 rounds),@555stephen,xilly,Reyna,,169,15,16,4,,44,,,,,5,,,1,0,
match_6,2026-08-21,Split,Team1,Win (93-82 kills / 13-11 rounds),@marlsa,marlsa,Astra,,140,11,17,4,,40,,,,,0,,,4,0,
match_6,2026-08-21,Split,Team2,Loss (82-93 kills / 11-13 rounds),@skullmanjack.,skullmanjack,Unknown,,103,8,17,2,,28,,,,,2,,,4,0,agent column garbled in screenshot
match_7,,,Team A,Win (13-10),@wordsbynoble,peble eater,,Diamond III,273,23,13,4,1.8,,+35,152.3,17,70,3,4,2,,,
match_7,,,Team A,Win (13-10),@iShox,keep virginity,,Diamond III,271,23,15,1,1.5,,+48,166.7,29,61,4,1,4,,,discord handle not yet confirmed - using in-game tag #iShox as placeholder
match_7,,,Team A,Win (13-10),@luvnochi,snomnom,,Diamond III,219,15,20,10,0.8,,-13,146.7,15,74,1,4,1,,,
match_7,,,Team A,Win (13-10),@szbread_19,BreadnCheese,,Diamond III,187,15,16,5,0.9,,-18,111.2,23,83,4,0,0,,,
match_7,,,Team A,Win (13-10),@streethunter,Mystrophics,,Diamond III,122,13,13,3,1.0,,-23,81.0,27,70,0,2,0,,,
match_7,,,Team B,Loss (10-13),@travztmr,Travz,,Platinum III,227,19,17,1,1.1,,+3,139.7,31,61,3,2,3,,,
match_7,,,Team B,Loss (10-13),@uvz,buubz,,Platinum III,214,16,19,5,0.8,,-1,140.6,23,65,2,4,1,,,
match_7,,,Team B,Loss (10-13),@Jiroshima,Jiroshima,,Platinum III,214,18,17,6,1.1,,+9,138.5,16,70,5,4,1,,,
match_7,,,Team B,Loss (10-13),@enx0o,nzo,,Platinum III,175,14,17,2,0.8,,-1,116.2,15,61,1,0,1,,,
match_7,,,Team B,Loss (10-13),@tia0_o,redtea,,Platinum III,136,9,19,9,0.5,,-40,93.0,14,70,0,2,1,,,
match_8,2026-08-26,Icebox,Team A,Win (14-12),@wordsbynoble,peble eater,,Diamond III,313,27,22,6,1.2,,+57,213.1,22,65,2,4,2,,,
match_8,2026-08-26,Icebox,Team A,Win (14-12),@Jiroshima,Jiroshima,,Diamond III,302,27,19,2,1.4,,+53,180.8,25,77,6,4,3,,,
match_8,2026-08-26,Icebox,Team A,Win (14-12),@luvnochi,snomnom,,Diamond III,232,21,25,4,0.8,,-32,144.7,18,77,4,0,1,,,
match_8,2026-08-26,Icebox,Team A,Win (14-12),@iShox,keep virginity,,Diamond III,200,19,15,5,1.3,,+27,135.0,21,81,2,0,0,,,discord handle not yet confirmed - using in-game tag #iShox as placeholder
match_8,2026-08-26,Icebox,Team A,Win (14-12),@enx0o,nzo,,Diamond III,139,14,15,5,0.9,,-11,98.0,19,69,1,3,0,,,
match_8,2026-08-26,Icebox,Team B,Loss (12-14),@uvz,buubz,,Platinum I,480,42,19,11,2.2,,+119,265.0,19,88,8,4,6,,,
match_8,2026-08-26,Icebox,Team B,Loss (12-14),@szbread_19,BreadnCheese,,Platinum I,221,19,21,7,0.9,,-4,146.8,19,85,0,2,3,,,
match_8,2026-08-26,Icebox,Team B,Loss (12-14),@skullmanjack.,skullmanjack,,Platinum I,202,20,25,5,0.8,,-48,126.6,19,77,2,5,4,,,
match_8,2026-08-26,Icebox,Team B,Loss (12-14),@tia0_o,redtea,,Platinum I,103,9,22,4,0.4,,-81,79.5,21,62,1,4,0,,,
match_8,2026-08-26,Icebox,Team B,Loss (12-14),@streethunter,Mystrophics,,Platinum I,85,6,21,6,0.3,,-81,58.9,10,54,0,0,0,,,
match_9,2026-08-24,Haven,Team A,Win (13-5),@luvnochi,snomnom,,Diamond I,338,20,12,15,1.7,,+44,191.1,16,94,3,2,1,,,
match_9,2026-08-24,Haven,Team A,Win (13-5),@paxeee,baobao,,Diamond I,319,21,7,5,3.0,,+106,195.8,20,89,2,0,3,,,
match_9,2026-08-24,Haven,Team A,Win (13-5),@uvz,buubz,,Diamond I,276,20,10,6,2.0,,+85,186.8,39,83,2,1,2,,,
match_9,2026-08-24,Haven,Team A,Win (13-5),@tia0_o,redtea,,Diamond I,150,9,12,3,0.8,,-23,104.5,30,61,2,4,1,,,
match_9,2026-08-24,Haven,Team A,Win (13-5),@4atomsk,Roxas,,Diamond I,139,9,13,1,0.7,,-58,83.4,19,67,1,1,1,,,
match_9,2026-08-24,Haven,Team B,Loss (5-13),@Jiroshima,Jiroshima,,Diamond I,281,18,15,3,1.2,,+13,173.6,33,56,1,1,2,,,
match_9,2026-08-24,Haven,Team B,Loss (5-13),@bearably,Bear,,Diamond I,267,16,16,2,1.0,,+43,180.4,26,67,4,4,1,,,
match_9,2026-08-24,Haven,Team B,Loss (5-13),@szbread_19,BreadnCheese,,Diamond I,129,7,16,5,0.4,,-58,88.6,11,67,1,1,0,,,
match_9,2026-08-24,Haven,Team B,Loss (5-13),@nope_yep_,benzinooo,,Diamond I,129,6,17,7,0.3,,-85,91.1,19,44,1,3,0,,,
match_9,2026-08-24,Haven,Team B,Loss (5-13),@randmeow,blossom,,Diamond I,105,7,15,2,0.5,,-66,73.9,18,44,1,1,0,,,
